 abacus	Abacus	https://routellm.abacus.ai/v1	ABACUS_API_KEY	OpenAICompatProfile::full()
 abliteration_ai	Abliteration AI	https://api.abliteration.ai/v1	ABLIT_KEY	OpenAICompatProfile::full()
 ai_router	AI-ROUTER	https://api.ai-router.dev/v1	AI_ROUTER_API_KEY	OpenAICompatProfile::full()
 ai21	AI21 Labs	https://api.ai21.ai/v1	AI21_API_KEY	OpenAICompatProfile::full()
 ai302	302.AI	https://api.302.ai/v1	AI302_API_KEY	OpenAICompatProfile::full()
 aiand	AIand	https://api.aiand.com/v1	AIAND_API_KEY	OpenAICompatProfile::full()
 aibadgr	AI Badgr	https://api.aibadgr.com/v1	AIBADGR_API_KEY	OpenAICompatProfile::full()
 aigc2d	AIGC2D	https://api.aigc2d.com/v1	AIGC2D_API_KEY	OpenAICompatProfile::full()
 aihubmix	AIHubMix	https://aihubmix.com/v1	AIHUBMIX_API_KEY	OpenAICompatProfile::full()
 ails	AILS	https://api.caipacity.com/v1	AILS_API_KEY	OpenAICompatProfile::full()
 aiml	AI/ML API	https://api.aimlapi.com/v1	AIML_API_KEY	OpenAICompatProfile::full()
 aki_io	AKI.IO	https://aki.io/openai/v1	AKI_IO_API_KEY	OpenAICompatProfile::full()
 albert	Albert	https://api.albert.ai/v1	ALBERT_API_KEY	OpenAICompatProfile::full()
 alibaba	Alibaba Cloud (DashScope)	https://dashscope-intl.aliyuncs.com/compatible-mode/v1	ALIBABA_API_KEY	OpenAICompatProfile::full()
 alibaba_coding_plan	Alibaba Coding Plan	https://coding-intl.dashscope.aliyuncs.com/v1	ALIBABA_CODING_PLAN_API_KEY	OpenAICompatProfile::full()
 alibaba_coding_plan_cn	Alibaba Coding Plan (China)	https://coding.dashscope.aliyuncs.com/v1	ALIBABA_CODING_PLAN_API_KEY	OpenAICompatProfile::full()
 alibaba_token_plan	Alibaba Token Plan	https://token-plan.ap-southeast-1.maas.aliyuncs.com/compatible-mode/v1	ALIBABA_TOKEN_PLAN_API_KEY	OpenAICompatProfile::full()
 alibaba_token_plan_cn	Alibaba Token Plan (China)	https://token-plan.cn-beijing.maas.aliyuncs.com/compatible-mode/v1	ALIBABA_TOKEN_PLAN_API_KEY	OpenAICompatProfile::full()
 ambient	Ambient	https://api.ambient.xyz/v1	AMBIENT_API_KEY	OpenAICompatProfile::full()
 anyapi	AnyAPI	https://api.anyapi.ai/v1	ANYAPI_KEY	OpenAICompatProfile::full()
 anyscale	Anyscale	https://api.endpoints.anyscale.com/v1	ANYSCALE_API_KEY	OpenAICompatProfile::full()
 apertis	Apertis	https://api.stima.tech/v1	STIMA_API_KEY	OpenAICompatProfile::full()
 api2d	API2D	https://oa.api2d.net/v1	API2D_API_KEY	OpenAICompatProfile::full()
 api2gpt	API2GPT	https://api.api2gpt.com/v1	API2GPT_API_KEY	OpenAICompatProfile::full()
 apiserpent	API Serpent	https://api.apiserpent.com/v1	APISERPENT_API_KEY	OpenAICompatProfile::full()
